census_block_2010,feature_type,feature_subtype,year,week,value,feature_id
2006,Restaurant Total,3,29,2008,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,29,2012,2,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,29,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,29,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,29,2016,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,29,2017,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,30,2008,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,30,2011,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,30,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,30,2013,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,30,2014,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,30,2015,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,30,2017,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,31,2009,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,31,2010,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,31,2011,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,31,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,31,2013,2,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,31,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,31,2016,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,32,2010,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,32,2011,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,32,2012,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,32,2013,2,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,32,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,32,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,32,2016,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,33,2007,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,33,2008,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,33,2010,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,33,2011,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,33,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,33,2013,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,33,2014,2,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,33,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,33,2016,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,34,2011,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,34,2013,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,34,2014,4,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,34,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,34,2016,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,35,2009,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,35,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,35,2013,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,35,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,35,2015,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,35,2017,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,36,2008,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,36,2010,2,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,36,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,36,2013,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,36,2014,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,36,2016,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,36,2017,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,37,2008,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,37,2013,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,37,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,37,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,38,2008,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,38,2010,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,38,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,38,2013,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,38,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,38,2016,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,39,2009,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,39,2010,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,39,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,39,2013,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,39,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,39,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,39,2016,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,40,2008,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,40,2009,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,40,2010,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,40,2011,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,40,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,40,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,40,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,41,2008,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,41,2011,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,41,2016,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,42,2010,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,42,2013,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,42,2014,2,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,42,2016,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,43,2010,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,43,2011,2,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,43,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,43,2013,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,43,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,43,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,43,2016,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,44,2010,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,44,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,44,2013,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,44,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,44,2016,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,45,2008,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,45,2011,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,45,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,45,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,46,2008,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,46,2010,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,46,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,46,2016,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,47,2008,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,47,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,47,2016,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,48,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,48,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,49,2008,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,49,2012,2,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,49,2013,0,restaurant_violations_rodent_or_trash
