,feature_id,feature_type,feature_subtype,year,week,census_block_2010,value
197,weather_average_temperature,,,2014,51,,57.857142857142854
198,weather_average_minimum_temperature,,,2014,51,,23.142857142857142
199,weather_average_maximum_temperature,,,2014,51,,88.71428571428571
200,weather_total_precipitation,,,2014,52,,348
201,weather_average_temperature,,,2014,52,,78.14285714285714
202,weather_average_minimum_temperature,,,2014,52,,45.285714285714285
203,weather_average_maximum_temperature,,,2014,52,,121.42857142857143
204,weather_total_precipitation,,,2015,1,,191
205,weather_average_temperature,,,2015,1,,50.857142857142854
206,weather_average_minimum_temperature,,,2015,1,,13.857142857142858
207,weather_average_maximum_temperature,,,2015,1,,89.57142857142857
208,weather_total_precipitation,,,2015,2,,51
209,weather_average_temperature,,,2015,2,,-15.428571428571429
210,weather_average_minimum_temperature,,,2015,2,,-60.714285714285715
211,weather_average_maximum_temperature,,,2015,2,,25.142857142857142
212,weather_total_precipitation,,,2015,3,,343
213,weather_average_temperature,,,2015,3,,19.571428571428573
214,weather_average_minimum_temperature,,,2015,3,,-9.714285714285714
215,weather_average_maximum_temperature,,,2015,3,,54.857142857142854
216,weather_total_precipitation,,,2015,4,,307
217,weather_average_temperature,,,2015,4,,44.142857142857146
218,weather_average_minimum_temperature,,,2015,4,,11.285714285714286
219,weather_average_maximum_temperature,,,2015,4,,82.42857142857143
220,weather_total_precipitation,,,2015,5,,79
221,weather_average_temperature,,,2015,5,,8.857142857142858
222,weather_average_minimum_temperature,,,2015,5,,-34.714285714285715
223,weather_average_maximum_temperature,,,2015,5,,48.42857142857143
224,weather_total_precipitation,,,2015,6,,23
225,weather_average_temperature,,,2015,6,,22.0
226,weather_average_minimum_temperature,,,2015,6,,-34.0
227,weather_average_maximum_temperature,,,2015,6,,95.28571428571429
228,weather_total_precipitation,,,2015,7,,23
229,weather_average_temperature,,,2015,7,,-0.7142857142857143
230,weather_average_minimum_temperature,,,2015,7,,-50.142857142857146
231,weather_average_maximum_temperature,,,2015,7,,39.0
232,weather_total_precipitation,,,2015,8,,335
233,weather_average_temperature,,,2015,8,,-58.57142857142857
234,weather_average_minimum_temperature,,,2015,8,,-93.57142857142857
235,weather_average_maximum_temperature,,,2015,8,,-8.285714285714286
236,weather_total_precipitation,,,2015,9,,166
237,weather_average_temperature,,,2015,9,,-10.857142857142858
238,weather_average_minimum_temperature,,,2015,9,,-54.57142857142857
239,weather_average_maximum_temperature,,,2015,9,,24.142857142857142
240,weather_total_precipitation,,,2015,10,,317
241,weather_average_temperature,,,2015,10,,21.714285714285715
242,weather_average_minimum_temperature,,,2015,10,,-24.714285714285715
243,weather_average_maximum_temperature,,,2015,10,,77.14285714285714
244,weather_total_precipitation,,,2015,11,,267
245,weather_average_temperature,,,2015,11,,98.14285714285714
246,weather_average_minimum_temperature,,,2015,11,,53.285714285714285
247,weather_average_maximum_temperature,,,2015,11,,149.28571428571428
248,weather_total_precipitation,,,2015,12,,124
249,weather_average_temperature,,,2015,12,,86.28571428571429
250,weather_average_minimum_temperature,,,2015,12,,35.57142857142857
251,weather_average_maximum_temperature,,,2015,12,,148.57142857142858
252,weather_total_precipitation,,,2015,13,,180
253,weather_average_temperature,,,2015,13,,70.0
254,weather_average_minimum_temperature,,,2015,13,,26.428571428571427
255,weather_average_maximum_temperature,,,2015,13,,117.42857142857143
256,weather_total_precipitation,,,2015,14,,69
257,weather_average_temperature,,,2015,14,,137.14285714285714
258,weather_average_minimum_temperature,,,2015,14,,70.57142857142857
259,weather_average_maximum_temperature,,,2015,14,,206.42857142857142
260,weather_total_precipitation,,,2015,15,,89
261,weather_average_temperature,,,2015,15,,139.0
262,weather_average_minimum_temperature,,,2015,15,,84.14285714285714
263,weather_average_maximum_temperature,,,2015,15,,186.57142857142858
264,weather_total_precipitation,,,2015,16,,275
265,weather_average_temperature,,,2015,16,,181.71428571428572
266,weather_average_minimum_temperature,,,2015,16,,127.71428571428571
267,weather_average_maximum_temperature,,,2015,16,,235.71428571428572
268,weather_total_precipitation,,,2015,17,,306
269,weather_average_temperature,,,2015,17,,140.14285714285714
270,weather_average_minimum_temperature,,,2015,17,,88.85714285714286
271,weather_average_maximum_temperature,,,2015,17,,195.28571428571428
272,weather_total_precipitation,,,2015,18,,165
273,weather_average_temperature,,,2015,18,,167.0
274,weather_average_minimum_temperature,,,2015,18,,111.0
275,weather_average_maximum_temperature,,,2015,18,,228.71428571428572
276,weather_total_precipitation,,,2015,19,,13
277,weather_average_temperature,,,2015,19,,226.57142857142858
278,weather_average_minimum_temperature,,,2015,19,,174.71428571428572
279,weather_average_maximum_temperature,,,2015,19,,287.14285714285717
280,weather_total_precipitation,,,2015,20,,168
281,weather_average_temperature,,,2015,20,,220.71428571428572
282,weather_average_minimum_temperature,,,2015,20,,176.14285714285714
283,weather_average_maximum_temperature,,,2015,20,,275.42857142857144
284,weather_total_precipitation,,,2015,21,,277
285,weather_average_temperature,,,2015,21,,211.42857142857142
286,weather_average_minimum_temperature,,,2015,21,,157.14285714285714
287,weather_average_maximum_temperature,,,2015,21,,263.42857142857144
288,weather_total_precipitation,,,2015,22,,3
289,weather_average_temperature,,,2015,22,,261.42857142857144
290,weather_average_minimum_temperature,,,2015,22,,222.14285714285714
291,weather_average_maximum_temperature,,,2015,22,,317.2857142857143
292,weather_total_precipitation,,,2015,23,,854
293,weather_average_temperature,,,2015,23,,206.42857142857142
294,weather_average_minimum_temperature,,,2015,23,,172.28571428571428
295,weather_average_maximum_temperature,,,2015,23,,244.28571428571428
296,weather_total_precipitation,,,2015,24,,302
297,weather_average_temperature,,,2015,24,,270.0
298,weather_average_minimum_temperature,,,2015,24,,223.85714285714286
299,weather_average_maximum_temperature,,,2015,24,,324.57142857142856
300,weather_total_precipitation,,,2015,25,,841
301,weather_average_temperature,,,2015,25,,277.14285714285717
302,weather_average_minimum_temperature,,,2015,25,,238.0
