"inspection_id","latitude","longitude"
98,38.902565,-77.005812
99,38.902565,-77.005812
100,38.902565,-77.005812
101,38.914485,-77.003431
102,38.900277,-76.992503
103,38.900277,-76.992503
104,38.900277,-76.992503
105,38.900277,-76.992503
106,38.900127,-76.992485
107,38.900127,-76.992485
108,38.93316,-76.996184
109,38.902899,-76.981591
110,38.902899,-76.981591
111,38.902899,-76.981591
112,38.903675,-76.981354
113,38.918977,-76.991931
114,38.918977,-76.991931
115,38.918977,-76.991931
116,38.918977,-76.991931
117,38.918977,-76.991931
118,38.918977,-76.991931
119,38.918977,-76.991931
120,38.894711,-77.005776
121,38.894711,-77.005776
122,38.903734,-77.016174
123,38.905163,-76.925085
124,38.905163,-76.925085
125,38.905163,-76.925085
126,38.904008,-76.980921
127,38.904008,-76.980921
128,38.904008,-76.980921
129,38.904008,-76.980921
130,38.900275,-76.991485
131,38.902848,-76.990211
132,38.902848,-76.990211
133,38.903811,-77.002852
134,38.903811,-77.002852
135,38.912996,-76.989412
136,38.912996,-76.989412
137,38.912996,-76.989412
138,38.912996,-76.989412
139,38.912996,-76.989412
140,38.912996,-76.989412
141,38.900125,-76.991424
142,38.900125,-76.991424
143,38.900125,-76.991424
144,38.900125,-76.991424
145,38.900275,-76.991363
146,38.900275,-76.991363
147,38.900275,-76.991363
148,38.90028,-76.996071
149,38.90028,-76.996071
150,38.900125,-76.991322
151,38.900125,-76.991322
152,38.900275,-76.991301
153,38.900275,-76.991301
154,38.900275,-76.99124
155,38.905042,-77.009141
156,38.903174,-76.991102
157,38.903174,-76.991102
158,38.90315,-76.991059
159,38.942859,-76.980379
160,38.942859,-76.980379
161,38.942859,-76.980379
162,38.905169,-76.980107
163,38.929411,-76.960075
164,38.905377,-76.979956
165,38.905377,-76.979956
166,38.929411,-76.960075
167,38.900275,-76.990179
168,38.900275,-76.990179
169,38.900275,-76.990179
170,38.900275,-76.990179
171,38.900275,-76.990179
172,38.900275,-76.990179
173,38.900125,-76.990148
174,38.921997,-76.988669
175,38.921997,-76.988669
176,38.921997,-76.988669
177,38.900275,-76.990087
178,38.900275,-76.990087
179,38.900275,-76.990087
180,38.900275,-76.990087
181,38.922019,-76.988665
182,38.922019,-76.988665
183,38.900275,-76.990056
184,38.900275,-76.990056
185,38.900275,-76.990056
186,38.900275,-76.990056
187,38.90061,-77.028191
188,38.90061,-77.028191
189,38.922042,-76.988662
190,38.922042,-76.988662
191,38.922042,-76.988662
192,38.906447,-77.005883
193,38.900275,-76.989872
194,38.900275,-76.989872
195,38.900275,-76.989872
196,38.900275,-76.989872
197,38.900275,-76.989872
198,38.900275,-76.989872
199,38.900275,-76.989872
200,38.906721,-77.000495
201,38.906721,-77.000495
202,38.906721,-77.000495
203,38.900275,-76.989841
204,38.900275,-76.989841
205,38.900275,-76.989841
206,38.900275,-76.989718
207,38.900275,-76.989718
208,38.900275,-76.989688
209,38.900128,-77.002015
210,38.900128,-77.002015
211,38.900275,-76.989688
212,38.900275,-76.989688
213,38.900275,-76.989657
214,38.900275,-76.989657
215,38.919245,-76.98874
216,38.919245,-76.988711
217,38.899978,-77.030341
218,38.899978,-77.030341
219,38.900275,-76.989473
220,38.907865,-76.999986
221,38.907865,-76.999986
222,38.906905,-76.979174
223,38.906905,-76.979174
224,38.906905,-76.979174
225,38.906905,-76.979174
226,38.906905,-76.979174
227,38.906905,-76.979174
228,38.906905,-76.979174
229,38.906905,-76.979174
230,38.906905,-76.979174
231,38.906905,-76.979174
232,38.900278,-76.998261
233,38.900125,-76.989473
234,38.900278,-76.998261
235,38.900278,-76.998261
236,38.900278,-76.998261
237,38.900125,-76.989473
238,38.900125,-76.989473
239,38.900125,-76.989473
240,38.900125,-76.989473
241,38.900125,-76.989473
242,38.900125,-76.989473
243,38.900278,-76.997356
