inspection_id,latitude,longitude,census_block
347,38.914291,-76.986137,1002
348,38.900123,-76.987033,1001
349,38.900123,-76.987033,1001
350,38.900123,-76.987033,1001
351,38.900123,-76.986987,1001
352,38.924827,-76.986274,1008
353,38.924827,-76.986274,1008
354,38.924827,-76.986274,1008
355,38.900123,-76.986848,1001
356,38.900123,-76.986848,1001
357,38.900123,-76.986848,1001
358,38.900123,-76.986848,1001
359,38.900123,-76.986848,1001
360,38.900272,-76.986801,1001
361,38.900272,-76.986801,1001
362,38.915242,-76.986614,2014
363,38.915242,-76.986614,2014
364,38.915242,-76.986614,2014
365,38.915242,-76.986614,2014
366,38.915242,-76.986614,2014
367,38.900122,-76.986756,1001
368,38.901157,-76.986343,2010
369,38.901157,-76.986343,2010
370,38.900272,-76.986395,1001
371,38.900272,-76.986349,1001
372,38.900272,-76.986349,1001
373,38.900272,-76.986349,1001
374,38.900272,-76.986349,1001
375,38.900272,-76.986349,1001
376,38.900272,-76.986349,1001
377,38.91692,-77.005033,2007
378,38.889876,-76.986294,2019
379,38.889876,-76.986294,2019
380,38.900718,-76.985161,2009
381,38.900196,-76.985503,1000
382,38.900196,-76.985503,1000
383,38.900196,-76.985503,1000
384,38.900196,-76.985503,1000
385,38.900196,-76.985503,1000
386,38.900196,-76.985503,1000
387,38.899231,-76.985503,1000
388,38.899231,-76.985503,1000
389,38.899231,-76.985503,1000
390,38.899231,-76.985503,1000
391,38.924619,-76.985622,1008
392,38.924619,-76.985622,1008
393,38.900121,-76.985367,1000
394,38.900121,-76.985367,1000
395,38.900121,-76.985367,1000
396,38.900121,-76.985367,1000
397,38.900121,-76.985141,1000
398,38.900121,-76.985141,1000
399,38.900121,-76.985141,1000
400,38.900076,-76.983445,4001
401,38.900076,-76.983445,4001
402,38.900076,-76.983445,4001
403,38.900076,-76.983445,4001
404,38.900076,-76.983445,4001
405,38.900076,-76.983445,4001
406,38.900076,-76.983445,4001
407,38.900076,-76.983445,4001
408,38.889875,-76.983549,1012
409,38.889875,-76.983549,1012
410,38.889875,-76.983549,1012
411,38.889875,-76.983502,1012
412,38.889875,-76.983502,1012
413,38.909863,-76.936054,1040
414,38.925713,-76.983231,3018
415,38.910133,-77.009096,1002
416,38.910133,-77.009096,1002
417,38.910133,-77.009096,1002
418,38.911747,-76.934694,1012
419,38.910217,-76.935758,1040
420,38.900074,-76.982629,2001
421,38.900074,-76.982629,2001
422,38.900074,-76.982629,2001
423,38.900074,-76.982629,2001
424,38.925935,-76.983025,3018
425,38.900675,-76.98208,2001
426,38.900675,-76.98208,2001
