,feature_id,feature_type,feature_subtype,year,week,census_tract_2010,value
222,population,,,2014,,11001002801,4393.0
223,population,,,2014,,11001002802,5027.0
224,population,,,2014,,11001002900,4868.0
225,population,,,2014,,11001003000,3660.0
226,population,,,2014,,11001003100,3355.0
227,population,,,2014,,11001003200,4781.0
228,population,,,2014,,11001003301,3436.0
229,population,,,2014,,11001003302,2281.0
230,population,,,2014,,11001003400,4668.0
231,population,,,2014,,11001003500,4959.0
232,population,,,2014,,11001003600,4713.0
233,population,,,2014,,11001003700,5616.0
234,population,,,2014,,11001003800,5108.0
235,population,,,2014,,11001003900,4451.0
236,population,,,2014,,11001004001,3907.0
237,population,,,2014,,11001004002,2813.0
238,population,,,2014,,11001004100,2610.0
239,population,,,2014,,11001004201,3642.0
240,population,,,2014,,11001004202,2760.0
241,population,,,2014,,11001004300,3481.0
242,population,,,2014,,11001004400,5555.0
243,population,,,2014,,11001004600,2927.0
244,population,,,2014,,11001004701,3983.0
245,population,,,2014,,11001004702,2285.0
246,population,,,2014,,11001004801,2138.0
247,population,,,2014,,11001004802,3313.0
248,population,,,2014,,11001004901,2513.0
249,population,,,2014,,11001004902,2759.0
250,population,,,2014,,11001005001,2092.0
251,population,,,2014,,11001005002,5935.0
252,population,,,2014,,11001005201,5825.0
253,population,,,2014,,11001005301,5278.0
254,population,,,2014,,11001005500,6508.0
255,population,,,2014,,11001005600,6477.0
256,population,,,2014,,11001005800,2697.0
257,population,,,2014,,11001005900,3043.0
258,population,,,2014,,11001006202,0.0
259,population,,,2014,,11001006400,1986.0
260,population,,,2014,,11001006500,2415.0
261,population,,,2014,,11001006600,1932.0
262,population,,,2014,,11001006700,3957.0
263,population,,,2014,,11001006801,2078.0
264,population,,,2014,,11001006802,2267.0
265,population,,,2014,,11001006804,3008.0
266,population,,,2014,,11001006900,2148.0
267,population,,,2014,,11001007000,2729.0
268,population,,,2014,,11001007100,3335.0
269,population,,,2014,,11001007200,4247.0
270,population,,,2014,,11001007301,3602.0
271,population,,,2014,,11001007304,3640.0
272,population,,,2014,,11001007401,2448.0
273,population,,,2014,,11001007403,3328.0
274,population,,,2014,,11001007404,3747.0
275,population,,,2014,,11001007406,3129.0
276,population,,,2014,,11001007407,2950.0
277,population,,,2014,,11001007408,3357.0
278,population,,,2014,,11001007409,3848.0
